1,0.000000,	found 0 at position -1
1,0.000000,	found 0 at position -1
1,0.000000,	found 0 at position -1
1,0.000000,	found 0 at position -1
1,0.000000,	found 0 at position -1
1,0.000000,	found 0 at position -1
1,0.000000,	found 0 at position -1
1,0.000000,	found 0 at position -1
1,0.000000,	found 0 at position -1
1,0.000000,	found 0 at position -1
2,0.000000,	found 1 at position 0
2,0.000000,	found 2 at position 1
2,0.000000,	found 0 at position -1
2,0.000000,	found 2 at position 1
2,0.000000,	found 2 at position 1
2,0.000000,	found 1 at position 0
2,0.000000,	found 2 at position 1
2,0.000000,	found 1 at position 0
2,0.000000,	found 2 at position 1
2,0.000000,	found 2 at position 1
4,0.000000,	found -1 at position -1
4,0.000000,	found 3 at position 2
4,0.000000,	found 2 at position 1
4,0.000000,	found 0 at position -1
4,0.000000,	found 4 at position 3
4,0.000000,	found -1 at position -1
4,0.000000,	found 3 at position 2
4,0.000000,	found 3 at position 2
4,0.000000,	found 3 at position 2
4,0.000000,	found 3 at position 2
8,0.000000,	found 8 at position 7
8,0.000000,	found 9 at position -1
8,0.000000,	found -1 at position -1
8,0.000000,	found -2 at position -1
8,0.000000,	found 8 at position 7
8,0.000000,	found 9 at position -1
8,0.000000,	found 3 at position 2
8,0.000000,	found 6 at position 5
8,0.000000,	found -2 at position -1
8,0.000000,	found 6 at position 5
16,0.000000,	found -1 at position -1
16,0.000000,	found 0 at position -1
16,0.000000,	found 4 at position 3
16,0.000000,	found 2 at position 1
16,0.000000,	found 11 at position 10
16,0.000000,	found 10 at position 9
16,0.000000,	found 1 at position 0
16,0.000000,	found -3 at position -1
16,0.000000,	found -3 at position -1
16,0.000000,	found 11 at position 10
32,0.000000,	found 24 at position 23
32,0.000000,	found 16 at position 15
32,0.000000,	found 14 at position 13
32,0.000000,	found 19 at position 18
32,0.000000,	found 27 at position 26
32,0.000000,	found -5 at position -1
32,0.000000,	found -5 at position -1
32,0.000000,	found 17 at position 16
32,0.000000,	found 24 at position 23
32,0.000000,	found 16 at position 15
64,0.000000,	found 70 at position -1
64,0.000000,	found -21 at position -1
64,0.000000,	found 4 at position 3
64,0.000000,	found 3 at position 2
64,0.000000,	found 7 at position 6
64,0.000000,	found 66 at position -1
64,0.000000,	found 19 at position 18
64,0.000000,	found 25 at position 24
64,0.000000,	found 2 at position 1
64,0.000000,	found 43 at position 42
128,0.000000,	found 16 at position 15
128,0.000000,	found 73 at position 72
128,0.000000,	found 147 at position -1
128,0.000000,	found 97 at position 96
128,0.000000,	found 81 at position 80
128,0.000000,	found 60 at position 59
128,0.000000,	found 113 at position 112
